DAUID,PCODE3
24660081,H1L
24660082,H1L
24660083,H1L
24660084,H1L
24660085,H1L
24660086,H1L
24660087,H1L
24660089,H1L
24660090,H1L
24660091,H1L
24660092,H1L
24660093,H1L
24660094,H1L
24660095,H1L
24660097,H1L
24660098,H1L
24660101,H1L
24660102,H1L
24660103,H1L
24660104,H1N
24660108,H1N
24660109,H1N
24660110,H1N
24660111,H1N
24660112,H1N
24660114,H1N
24660115,H1N
24660117,H1N
24660118,H1M
24660119,H1M
24660120,H1M
24660123,H1M
24660125,H1M
24660126,H1T
24660127,H1M
24660128,H1M
24660129,H1M
24660130,H1M
24660131,H1M
24660132,H1M
24660133,H1M
24660134,H1M
24660135,H1M
24660136,H1M
24660137,H1M
24660138,H1M
24660139,H1M
24660140,H1M
24660141,H1M
24660142,H1M
24660143,H1M
24660144,H1M
24660145,H1K
24660145,H1M
24660146,H1M
24660147,H1M
24660148,H1M
24660149,H1K
24660150,H1L
24660151,H1L
24660152,H1K
24660153,H1K
24660154,H1K
24660155,H1K
24660156,H1K
24660157,H1K
24660158,H1K
24660159,H1K
24660160,H1K
24660161,H1K
24660162,H1K
24660163,H1K
24660164,H1K
24660165,H1K
24660166,H1K
24660167,H1K
24660168,H1K
24660169,H1K
24660170,H1K
24660171,H1K
24660172,H1K
24660173,H1K
24660174,H1K
24660175,H1K
24660176,H1K
24660177,H1K
24660178,H1K
24660179,H1K
24660180,H1J
24660180,H1K
24660181,H1K
24660182,H1K
24660183,H1K
24660184,H1K
24660185,H1K
24660186,H1K
24660187,H1K
24660188,H1K
24660189,H1K
24660190,H1K
24660191,H1K
24660192,H1K
24660193,H1K
24660194,H1K
24660195,H1K
24660196,H1K
24660197,H1K
24660198,H1K
24660199,H1K
24660200,H1K
24660201,H1K
24660202,H1K
24660203,H1M
24660204,H1M
24660205,H1M
24660206,H1M
24660207,H1M
24660208,H1M
24660209,H1S
24660209,H1T
24660210,H1S
24660211,H1S
24660212,H1S
24660213,H1S
24660214,H1S
24660215,H1S
24660216,H1S
24660217,H1S
24660218,H1S
24660219,H1S
24660220,H1S
24660221,H1S
24660222,H1S
24660223,H1S
24660224,H1S
24660225,H1S
24660226,H1S
24660227,H1S
24660228,H1S
24660229,H1S
24660230,H1S
24660231,H1S
24660232,H1S
24660233,H1S
24660234,H1S
24660234,H1T
24660235,H1T
24660236,H1T
24660238,H1T
24660239,H1T
24660241,H1S
24660242,H2A
24660243,H2A
24660244,H2A
24660245,H2A
24660246,H2A
24660247,H2A
24660248,H2A
24660249,H2A
24660250,H2A
24660251,H2A
24660252,H2A
24660253,H2A
24660254,H2A
24660255,H2A
24660256,H2A
24660257,H2A
24660258,H1S
24660259,H1S
24660260,H1S
24660261,H1S
24660262,H1S
24660263,H1S
24660264,H1S
24660265,H1S
24660266,H1S
24660267,H1S
24660268,H1S
24660269,H1R
24660270,H1R
24660271,H1R
24660272,H1R
24660273,H1R
24660274,H1P
24660275,H1S
24660276,H1P
24660277,H1P
24660278,H1P
24660279,H1P
24660280,H1P
24660281,H1P
24660282,H1P
24660283,H1P
24660284,H1P
24660285,H1P
24660286,H1P
24660287,H1P
24660288,H1P
24660289,H1P
24660290,H1P
24660291,H1J
24660292,H1J
24660293,H1J
24660294,H1J
24660296,H1J
24660297,H1J
24660298,H1J
24660300,H1J
24660301,H1J
24660302,H1P
24660303,H1P
24660304,H1P
24660305,H1P
24660306,H1P
24660307,H1P
24660309,H1P
24660310,H1P
24660311,H1P
24660312,H1P
24660313,H1P
24660314,H1R
24660315,H1R
24660316,H1R
24660319,H1R
24660320,H1R
24660321,H1R
24660322,H1R
24660323,H1R
24660324,H1R
24660325,H1R
24660326,H1R
24660327,H1R
24660328,H1R
24660329,H1Z
24660330,H1Z
24660331,H1Z
24660332,H1Z
24660333,H1Z
24660334,H1Z
24660335,H1Z
24660336,H1Z
24660337,H1Z
24660338,H1Z
24660339,H1Z
24660340,H1Z
24660341,H1Z
24660342,H1Z
24660343,H1Z
24660344,H1Z
24660345,H1Z
24660346,H1Z
24660347,H1Z
24660348,H1Z
24660349,H1Z
24660350,H1Z
24660351,H1Z
24660352,H1Z
24660353,H1Z
24660354,H1Z
24660355,H1Z
24660356,H1Z
24660357,H1Z
24660358,H1Z
24660359,H1Z
24660360,H1Z
24660361,H2A
24660362,H2A
24660362,H1Z
24660363,H2A
24660364,H1Z
24660364,H2A
24660365,H1Z
24660366,H1Z
24660367,H1Z
24660368,H1Z
24660369,H1Z
24660370,H1Z
24660371,H1Z
24660372,H1Z
24660373,H1Z
24660374,H1R
24660376,H1R
24660378,H1R
24660379,H1R
24660380,H1R
24660381,H1R
24660382,H1R
24660383,H1R
24660384,H1R
24660385,H1R
24660386,H1R
24660387,H1R
24660388,H1R
24660389,H1R
24660390,H1R
24660391,H1R
24660392,H1R
24660393,H1R
24660394,H1R
24660395,H1R
24660396,H1R
24660397,H1R
24660398,H1R
24660399,H1R
24660400,H1P
24660401,H1R
24660402,H1R
24660403,H1R
24660404,H1R
24660405,H1R
24660406,H1R
24660407,H1R
24660408,H1Z
24660409,H1Z
24660410,H1Z
24660411,H1Z
24660412,H1Z
24660415,H1Z
24660415,H2A
24660416,H1Z
24660416,H2A
24660418,H2E
24660424,H2E
24660431,H2R
24660432,H2R
24660433,H2R
24660434,H2R
24660435,H2R
24660436,H2R
24660440,H2R
24660444,H2R
24660445,H2R
24660451,H2R
24660452,H2R
24660453,H2R
24660454,H2R
24660456,H2P
24660457,H2P
24660458,H2P
24660459,H2P
24660460,H2P
24660461,H2P
24660463,H2P
24660464,H2P
24660465,H2P
24660466,H2P
24660467,H2P
24660468,H2P
24660469,H2P
24660470,H2P
24660471,H2P
24660472,H2R
24660473,H2R
24660474,H2R
24660475,H2R
24660476,H2R
24660476,H2P
24660478,H2P
24660479,H2P
24660480,H2N
24660481,H2N
24660482,H2N
24660483,H2N
24660484,H2N
24660485,H2N
24660486,H2N
24660487,H2N
24660488,H2N
24660489,H2N
24660490,H2N
24660491,H2M
24660491,H2N
24660492,H2M
24660493,H2M
24660494,H2M
24660495,H2M
24660496,H2M
24660497,H2M
24660498,H2M
24660499,H2C
24660500,H3L
24660500,H2C
24660501,H2C
24660502,H2C
24660502,H3L
24660503,H3L
24660504,H3L
24660505,H3L
24660506,H3L
24660507,H3L
24660508,H3L
24660509,H3L
24660510,H3L
24660511,H3L
24660512,H3L
24660513,H4N
24660514,H4N
24660515,H4N
24660516,H4N
24660517,H4N
24660518,H4N
24660525,H4N
24660526,H4N
24660530,H4N
24660533,H4N
24660536,H4N
24660537,H4N
24660538,H4N
24660539,H4N
24660540,H4N
24660541,H4L
24660542,H4L
24660543,H4L
24660544,H4L
24660545,H4L
24660546,H4L
24660547,H4L
24660548,H4L
24660550,H4L
24660551,H4L
24660552,H4L
24660555,H4L
24660556,H4L
24660557,H4L
24660558,H4L
24660560,H4L
24660561,H4L
24660562,H4L
24660563,H4L
24660564,H4L
24660565,H4L
24660566,H4L
24660567,H4L
24660568,H4L
24660569,H4L
24660576,H4L
24660577,H4L
24660578,H4L
24660579,H4L
24660580,H4L
24660581,H4R
24660582,H4R
24660583,H4M
24660583,H4R
24660584,H4M
24660585,H4M
24660586,H4M
24660587,H4M
24660588,H4M
24660590,H4M
24660594,H4M
24660595,H4L
24660595,H4M
24660596,H4M
24660597,H4L
24660598,H4L
24660599,H4L
24660600,H4L
24660601,H4L
24660602,H4Y
24660602,H4L
24660603,H4L
24660604,H4L
24660605,H4L
24660606,H4L
24660607,H4L
24660607,H4N
24660608,H4T
24660608,H4P
24660609,H4P
24660610,H4P
24660611,H4P
24660613,H3W
24660613,H4P
24660614,H3W
24660615,H3W
24660617,H3W
24660618,H3W
24660619,H3W
24660620,H3W
24660624,H3W
24660625,H3X
24660626,H3X
24660627,H3X
24660628,H3X
24660629,H3X
24660630,H3X
24660631,H3X
24660632,H3X
24660633,H3X
24660634,H3X
24660635,H3X
24660641,H4A
24660642,H4A
24660644,H4A
24660645,H4A
24660646,H4A
24660649,H4A
24660650,H4A
24660652,H3W
24660654,H3W
24660655,H3W
24660656,H3W
24660657,H3W
24660659,H3W
24660660,H3W
24660661,H3W
24660662,H3W
24660663,H3W
24660664,H3W
24660665,H3W
24660666,H3W
24660667,H3W
24660668,H3W
24660669,H3W
24660670,H3W
24660671,H3W
24660672,H3W
24660673,H3W
24660676,H3R
24660677,H3S
24660678,H3S
24660679,H3S
24660680,H3S
24660681,H3S
24660683,H3S
24660684,H3S
24660685,H3S
24660686,H3S
24660687,H3W
24660688,H3T
24660689,H3T
24660690,H3T
24660691,H3T
24660695,H3T
24660696,H3T
24660697,H3T
24660699,H3T
24660700,H3T
24660700,H3V
24660710,H3Y
24660711,H3Y
24660712,H3Y
24660713,H3Y
24660714,H3Y
24660715,H3Y
24660716,H3Y
24660717,H3Z
24660717,H3Y
24660718,H3Y
24660724,H4A
24660725,H4A
24660726,H4A
24660727,H4A
24660728,H4A
24660729,H4A
24660730,H4A
24660731,H4A
24660732,H4A
24660733,H4A
24660734,H4A
24660735,H4B
24660743,H4B
24660744,H4B
24660745,H4B
24660746,H4B
24660748,H4B
24660749,H4V
24660750,H4V
24660751,H4V
24660752,H4B
24660752,H4V
24660753,H4B
24660754,H4B
24660755,H4B
24660756,H4A
24660757,H4B
24660758,H4A
24660759,H4A
24660760,H4A
24660761,H4A
24660762,H4A
24660763,H4V
24660764,H4V
24660765,H4V
24660766,H4V
24660767,H4V
24660768,H3X
24660769,H3X
24660770,H3X
24660771,H3X
24660772,H3X
24660773,H3X
24660774,H3X
24660775,H3X
24660776,H3W
24660777,H3W
24660778,H3W
24660779,H3X
24660780,H3X
24660781,H3X
24660783,H3X
24660784,H3X
24660785,H3X
24660786,H3X
24660787,H4V
24660788,H4W
24660794,H4W
24660797,H4W
24660798,H4W
24660799,H4W
24660800,H4W
24660801,H4W
24660802,H4W
24660803,H4W
24660804,H4W
24660805,H4W
24660806,H4W
24660807,H4Y
24660807,H4X
24660808,H4X
24660809,H4X
24660810,H4X
24660812,H8R
24660813,H8R
24660814,H8R
24660815,H8R
24660816,H8R
24660818,H8R
24660820,H4B
24660820,H4X
24660821,H4X
24660822,H4B
24660823,H4B
24660824,H4B
24660825,H4B
24660826,H4B
24660827,H4V
24660828,H4V
24660828,H4B
24660829,H4X
24660830,H4X
24660832,H4X
24660833,H4X
24660834,H4V
24660835,H4W
24660835,H4V
24660836,H4V
24660837,H4V
24660838,H4V
24660839,H4V
24660840,H4V
24660841,H4V
24660842,H4V
24660843,H4V
24660844,H4V
24660848,H4V
24660849,H4V
24660850,H4V
24660851,H4V
24660852,H4V
24660853,H4V
24660854,H4W
24660855,H4W
24660856,H4W
24660857,H4W
24660858,H4W
24660859,H4W
24660860,H4W
24660861,H4W
24660862,H4W
24660863,H4W
24660863,H4X
24660864,H4W
24660864,H4X
24660865,H4V
24660866,H4V
24660869,H4B
24660870,H4B
24660871,H4B
24660872,H4B
24660874,H8N
24660876,H8N
24660877,H8N
24660878,H8N
24660879,H8N
24660880,H8N
24660881,H8N
24660882,H8N
24660883,H8N
24660884,H8N
24660885,H8N
24660886,H8N
24660887,H8N
24660888,H8N
24660889,H8N
24660890,H8N
24660891,H8N
24660892,H8N
24660893,H8N
24660894,H8N
24660895,H8N
24660896,H8N
24660897,H8N
24660898,H8N
24660899,H8N
24660900,H8N
24660901,H8N
24660902,H8N
24660903,H8N
24660904,H8N
24660905,H8N
24660906,H8R
24660907,H8R
24660908,H8R
24660909,H8R
24660910,H8R
24660911,H8R
24660912,H8R
24660913,H8R
24660914,H8R
24660915,H8R
24660916,H8R
24660917,H8R
24660918,H8R
24660919,H8R
24660920,H8R
24660921,H8R
24660922,H8R
24660923,H8R
24660924,H8R
24660925,H8R
24660926,H8R
24660927,H8R
24660928,H8R
24660929,H8R
24660930,H8R
24660931,H8R
24660932,H8R
24660933,H8R
24660934,H8R
24660935,H8R
24660936,H8R
24660937,H8R
24660938,H8R
24660939,H8R
24660940,H8R
24660941,H8R
24660942,H8R
24660943,H8R
24660944,H8R
24660945,H8R
24660946,H8R
24660947,H8R
24660948,H8R
24660949,H8R
24660950,H8R
24660951,H8R
24660952,H8R
24660953,H8R
24660954,H8R
24660955,H8P
24660956,H8P
24660957,H8P
24660958,H8P
24660959,H8P
24660960,H8P
24660961,H8P
24660962,H8P
24660963,H8P
24660964,H8P
24660965,H8P
24660966,H8P
24660967,H8P
24660968,H8P
24660969,H8P
24660970,H8P
24660971,H8P
24660972,H8P
24660973,H8P
24660974,H8P
24660975,H8P
24660976,H8P
24660977,H8P
24660978,H8P
24660979,H8P
24660980,H8P
24660981,H8P
24660982,H8P
24660983,H8P
24660984,H8P
24660985,H8P
24660986,H8P
24660987,H8P
24660988,H8P
24660989,H8P
24660990,H8P
24660991,H8P
24660992,H8P
24660993,H8N
24660994,H8N
24660995,H8N
24660997,H1G
24660997,H4E
24661003,H4E
24661004,H4E
24661005,H4E
24661010,H4E
24661011,H4E
24661012,H4E
24661013,H4E
24661014,H4E
24661015,H4E
24661016,H4E
24661017,H4E
24661018,H4E
24661019,H4E
24661020,H4E
24661021,H4E
24661022,H4E
24661023,H4E
24661024,H4E
24661025,H4E
24661026,H4E
24661027,H4E
24661028,H4E
24661029,H4E
24661030,H4E
24661031,H4E
24661032,H4E
24661033,H4E
24661034,H4E
24661035,H4E
24661036,H4E
24661037,H4E
24661038,H4E
24661039,H4E
24661040,H4E
24661041,H4E
24661042,H4E
24661047,H4E
24661047,H3K
24661048,H4C
24661049,H4C
24661050,H4C
24661051,H4C
24661052,H4C
24661053,H4C
24661054,H4C
24661055,H4C
24661058,H4C
24661059,H4C
24661060,H4C
24661062,H3Z
24661063,H3Z
24661066,H3Z
24661067,H3Z
24661068,H3Z
24661069,H3Y
24661070,H3Y
24661071,H3Y
24661072,H3Y
24661073,H3Z
24661073,H3Y
24661080,H3H
24661081,H3H
24661082,H3G
24661082,H3H
24661083,H3G
24661083,H3H
24661084,H1Y
24661084,H3H
24661086,H3H
24661087,H3H
24661093,H3H
24661094,H3H
24661099,H3G
24661100,H3G
24661102,H3G
24661103,H3H
24661104,H3G
24661104,H3A
24661105,H3G
24661106,H3G
24661106,H3B
24661108,H3C
24661109,H3J
24661110,H3J
24661111,H3J
24661113,H3J
24661114,H3J
24661116,H3J
24661117,H3J
24661118,H3J
24661119,H3J
24661120,H3J
24661121,H3J
24661122,H3J
24661123,H3J
24661124,H3C
24661124,H3J
24661125,H3K
24661126,H3K
24661127,H3K
24661128,H3K
24661129,H3K
24661130,H3K
24661131,H3K
24661132,H3K
24661133,H3K
24661134,H3K
24661135,H4G
24661136,H4G
24661137,H4G
24661138,H4G
24661139,H4G
24661140,H4G
24661141,H4G
24661142,H4G
24661143,H4G
24661144,H4G
24661145,H4G
24661146,H4G
24661147,H4G
24661148,H4G
24661149,H4G
24661150,H4G
24661151,H4G
24661152,H4G
24661153,H4G
24661154,H4G
24661155,H4G
24661156,H4G
24661157,H4G
24661158,H4G
24661159,H4G
24661160,H4G
24661161,H4H
24661162,H4H
24661163,H4H
24661164,H4H
24661165,H4H
24661166,H4H
24661167,H4H
24661168,H4H
24661169,H4H
24661170,H4H
24661171,H4H
24661172,H4H
24661173,H4G
24661174,H4G
24661175,H4G
24661176,H4G
24661177,H4G
24661178,H4G
24661179,H4G
24661180,H4G
24661181,H4G
24661182,H4G
24661183,H4G
24661184,H4G
24661185,H4G
24661189,H4G
24661190,H4G
24661191,H4H
24661192,H4H
24661193,H4H
24661194,H4H
24661195,H4H
24661196,H4H
24661197,H4H
24661198,H4H
24661199,H1G
24661199,H4H
24661200,H4H
24661201,H4H
24661202,H4H
24661203,H4H
24661204,H4H
24661205,H4E
24661207,H4E
24661208,H4H
24661209,H4H
24661210,H4H
24661211,H4H
24661212,H3E
24661213,H4H
24661214,H4G
24661215,H4G
24661216,H4G
24661217,H4G
24661218,H4G
24661219,H4G
24661220,H4G
24661221,H4G
24661222,H4G
24661223,H4G
24661224,H3E
24661225,H3E
24661226,H3E
24661227,H3E
24661228,H3E
24661229,H3E
24661230,H3E
24661231,H3E
24661232,H3E
24661234,H3E
24661237,H3E
24661240,H3E
24661241,H3E
24661242,H3C
24661242,H3K
24661243,H3K
24661244,H3K
24661247,H3K
24661248,H3K
24661249,H3K
24661250,H3K
24661251,H3K
24661252,H3K
24661255,H2Y
24661256,H2Y
24661256,H3C
24661256,H4Z
24661257,H2Y
24661258,H2X
24661259,H2X
24661260,H2X
24661261,H2X
24661262,H2X
24661263,H2X
24661264,H2X
24661265,H2X
24661271,H2X
24661277,H2X
24661278,H2X
24661279,H2X
24661280,H2X
24661281,H2X
24661283,H3A
24661283,H3B
24661283,H3C
24661283,H2Z
24661283,H5A
24661284,H2X
24661285,H2X
24661286,H2X
24661299,H3T
24661300,H3T
24661301,H3T
24661302,H3T
24661303,H3S
24661304,H3S
24661305,H3S
24661308,H3S
24661309,H3S
24661310,H3S
24661311,H3S
24661312,H3S
24661313,H3S
24661314,H3S
24661315,H3S
24661316,H3S
24661317,H3S
24661318,H3S
24661320,H3S
24661321,H3S
24661322,H3S
24661323,H3S
24661324,H3S
24661325,H3S
24661326,H3S
24661327,H3S
24661328,H3S
24661329,H3S
24661330,H3S
24661331,H3S
24661332,H3S
24661333,H3S
24661334,H3S
24661335,H3S
24661337,H3T
24661338,H3S
24661339,H3S
24661340,H3S
24661341,H3S
24661342,H3S
24661343,H3S
24661344,H3S
24661345,H3S
24661346,H3S
24661347,H3S
24661348,H3S
24661349,H2V
24661350,H2V
24661351,H2V
24661352,H2V
24661353,H2V
24661354,H2V
24661355,H2V
24661356,H2V
24661357,H2V
24661358,H2V
24661359,H2V
24661360,H2V
24661361,H2V
24661362,H2V
24661363,H2V
24661364,H2V
24661365,H2V
24661366,H2V
24661367,H2V
24661368,H2W
24661368,H2V
24661370,H2T
24661371,H2T
24661372,H2T
24661373,H2T
24661374,H2T
24661375,H2T
24661376,H2T
24661377,H2T
24661378,H2T
24661379,H2T
24661380,H2T
24661381,H2T
24661382,H2V
24661383,H2V
24661384,H2V
24661385,H2V
24661386,H2V
24661387,H2V
24661388,H2V
24661389,H2V
24661390,H2V
24661391,H2T
24661392,H2T
24661393,H2V
24661394,H2V
24661395,H2V
24661396,H2V
24661397,H2V
24661398,H2V
24661399,H2V
24661399,H3S
24661399,H3T
24661400,H2V
24661401,H3S
24661402,H2V
24661402,H3S
24661405,H3S
24661407,H3T
24661408,H2V
24661408,H3T
24661409,H2V
24661410,H2V
24661411,H2V
24661412,H2V
24661413,H2V
24661414,H2V
24661415,H2V
24661416,H2V
24661417,H2V
24661418,H2V
24661419,H2V
24661420,H2T
24661421,H2T
24661422,H2T
24661423,H2T
24661424,H2T
24661425,H2T
24661426,H2T
24661427,H2T
24661428,H2T
24661429,H2T
24661430,H2T
24661432,H2T
24661433,H2T
24661434,H2T
24661435,H2T
24661436,H2T
24661437,H2J
24661438,H2J
24661439,H2J
24661440,H2J
24661441,H2J
24661442,H2J
24661443,H2T
24661444,H2S
24661445,H2S
24661446,H2S
24661447,H2S
24661448,H2S
24661449,H2S
24661450,H2S
24661451,H2S
24661452,H2S
24661453,H2S
24661454,H2S
24661459,H2S
24661460,H2S
24661461,H2S
24661462,H2S
24661463,H2S
24661464,H2S
24661465,H2S
24661466,H2S
24661467,H2S
24661468,H2S
24661469,H2S
24661470,H2R
24661470,H2S
24661471,H2R
24661471,H2S
24661474,H2E
24661479,H2E
24661480,H2E
24661482,H2A
24661483,H2A
24661484,H2A
24661485,H2A
24661486,H2A
24661488,H2A
24661489,H2A
24661490,H2E
24661496,H2E
24661498,H2E
24661499,H2R
24661500,H2R
24661501,H2R
24661502,H2R
24661503,H2R
24661504,H2R
24661505,H2R
24661508,H2R
24661509,H2R
24661510,H2R
24661513,H2R
24661513,H2S
24661514,H2S
24661515,H2S
24661516,H2S
24661517,H2S
24661518,H2S
24661519,H2S
24661520,H2S
24661521,H2R
24661522,H3N
24661523,H3N
24661524,H3N
24661525,H3N
24661526,H3N
24661527,H3N
24661528,H3N
24661529,H3N
24661530,H3N
24661531,H3N
24661532,H3N
24661532,H3P
24661533,H3N
24661534,H3G
24661534,H3N
24661535,H3N
24661536,H3N
24661537,H3N
24661538,H3N
24661539,H3N
24661540,H3N
24661543,H3N
24661544,H3N
24661545,H3N
24661546,H3N
24661547,H3N
24661548,H3N
24661549,H3N
24661550,H3N
24661551,H3N
24661554,H3N
24661555,H3N
24661556,H3N
24661557,H3N
24661558,H3N
24661559,H3N
24661560,H3N
24661561,H3N
24661562,H3N
24661563,H3N
24661564,H3N
24661566,H3N
24661567,H3P
24661568,H3P
24661569,H3P
24661570,H3P
24661571,H3P
24661572,H3P
24661573,H3S
24661573,H3P
24661574,H3P
24661575,H3P
24661576,H3P
24661577,H3P
24661578,H3P
24661579,H3R
24661580,H3R
24661581,H3R
24661582,H3R
24661583,H3R
24661584,H3R
24661585,H3R
24661586,H3R
24661587,H4P
24661587,H3R
24661589,H3R
24661590,H3R
24661591,H3R
24661592,H3R
24661593,H3R
24661594,H3R
24661595,H3P
24661597,H3P
24661598,H3P
24661599,H3R
24661600,H3R
24661601,H4N
24661602,H4N
24661603,H4N
24661606,H4L
24661609,H4L
24661611,H4N
24661614,H3N
24661615,H3N
24661616,H3N
24661617,H3N
24661618,H3N
24661619,H3R
24661620,H3P
24661620,H3R
24661621,H3N
24661622,H3N
24661623,H3N
24661624,H3N
24661625,H2V
24661626,H2S
24661627,H2S
24661628,H2S
24661629,H1X
24661630,H2A
24661631,H1Y
24661634,H2G
24661635,H2G
24661636,H2G
24661637,H2G
24661638,H2G
24661639,H2G
24661640,H2G
24661641,H2G
24661642,H2G
24661643,H2S
24661644,H2S
24661645,H2S
24661646,H2S
24661647,H2S
24661648,H2S
24661649,H2S
24661650,H2G
24661651,H2G
24661652,H2G
24661653,H2G
24661654,H2G
24661655,H2G
24661656,H2G
24661657,H2G
24661658,H2G
24661659,H2G
24661660,H1Y
24661663,H1Y
24661664,H1Y
24661667,H1X
24661670,H1X
24661672,H1X
24661673,H1X
24661678,H1T
24661679,H1T
24661682,H1T
24661683,H1T
24661684,H1T
24661685,H1T
24661686,H1T
24661687,H1T
24661688,H1T
24661689,H1T
24661690,H1T
24661691,H1T
24661692,H1T
24661693,H1T
24661694,H1T
24661695,H1T
24661696,H1T
24661697,H1T
24661698,H1T
24661699,H1T
24661700,H1S
24661701,H1T
24661702,H1T
24661703,H1M
24661704,H1S
24661704,H1T
24661705,H1T
24661705,H1S
24661708,H1T
24661709,H1N
24661710,H1N
24661711,H1N
24661712,H1N
24661713,H1N
24661714,H1N
24661715,H1N
24661716,H1N
24661717,H1N
24661719,H1N
24661720,H1N
24661723,H1N
24661725,H1L
24661726,H1N
24661727,H1N
24661728,H1V
24661729,H1V
24661730,H1V
24661731,H1V
24661732,H1V
24661733,H1V
24661734,H1V
24661735,H1V
24661736,H1V
24661737,H1V
24661738,H1V
24661740,H1W
24661741,H1W
24661746,H1W
24661748,H1W
24661749,H1W
24661750,H1W
24661751,H1W
24661752,H1W
24661753,H1W
24661755,H1W
24661756,H1W
24661757,H1W
24661758,H1W
24661759,H1W
24661760,H1W
24661761,H1W
24661762,H1W
24661763,H1W
24661764,H1W
24661765,H1W
24661766,H1V
24661770,H1W
24661774,H1W
24661775,H1W
24661776,H1W
24661777,H1W
24661778,H1W
24661779,H1W
24661780,H2K
24661781,H2K
24661782,H1W
24661783,H2K
24661784,H2K
24661785,H2K
24661786,H2K
24661787,H2K
24661788,H2K
24661789,H2K
24661790,H2K
24661791,H2K
24661792,H2K
24661793,H2K
24661794,H2K
24661795,H2K
24661796,H2K
24661797,H2K
24661798,H2K
24661799,H2K
24661800,H2K
24661801,H2K
24661801,H2H
24661802,H2H
24661803,H2H
24661804,H2H
24661805,H2H
24661806,H2H
24661807,H2H
24661808,H2H
24661809,H2H
24661810,H2H
24661811,H2H
24661812,H2H
24661813,H2H
24661814,H2H
